Date,AAPL,MSFT,GOOG,FB,AMZN,SNE,AMD,TWTR,IBM,MU
2019/4/18,203.86,123.37,1236.37,178.28,1861.69,47.86,27.68,34.4,140.33,43.4
2019/4/22,204.53,123.76,1248.84,181.44,1887.31,47.61,28.18,34.39,138.89,43.4
2019/4/23,207.48,125.44,1264.55,183.78,1923.77,48.3,27.97,39.77,140.44,42.77
2019/4/24,207.16,125.01,1256.0,182.58,1901.75,46.46,28.46,39.29,139.95,43.03
2019/4/25,205.28,129.15,1263.45,193.26,1902.25,46.66,27.66,38.48,138.63,42.75
2019/4/26,204.3,129.89,1272.18,191.49,1950.63,50.24,27.88,38.67,139.44,42.1
2019/4/29,204.61,129.77,1287.58,194.78,1938.43,50.25,27.69,39.78,139.05,42.11
2019/4/30,200.67,130.6,1188.48,193.4,1926.52,50.37,27.63,39.91,140.27,42.06
2019/5/1,210.52,127.88,1168.08,193.03,1911.52,51.36,26.81,39.29,140.56,41.9
2019/5/2,209.15,126.21,1162.61,192.53,1900.82,51.46,28.29,39.95,139.59,42.56
2019/5/3,211.75,128.9,1185.4,195.47,1962.46,52.25,28.22,40.8,140.25,43.33
2019/5/6,208.48,128.15,1189.39,193.88,1950.55,51.22,27.42,40.23,140.38,42.13
2019/5/7,202.86,125.52,1174.1,189.77,1921.0,48.89,26.66,38.62,137.64,40.26
2019/5/8,202.9,125.51,1166.27,189.54,1917.77,48.75,27.09,38.58,138.0,39.75
2019/5/9,200.72,125.5,1162.38,188.65,1899.87,48.75,27.21,38.79,135.34,39.27
2019/5/10,197.18,127.13,1164.27,188.34,1889.98,49.7,27.96,38.45,135.32,38.94
2019/5/13,185.72,123.35,1132.03,181.54,1822.68,48.03,26.24,36.59,131.42,37.38
2019/5/14,188.66,124.73,1120.44,180.73,1840.12,48.44,27.32,36.93,133.31,38.51
2019/5/15,190.92,126.02,1164.21,186.27,1871.15,49.94,27.58,37.9,134.4,38.41
2019/5/16,190.08,128.93,1178.98,186.99,1907.57,52.0,28.01,38.3,135.88,37.31
2019/5/17,189.0,128.07,1162.3,185.3,1869.0,52.61,27.5,37.5,134.32,36.06
2019/5/20,183.09,126.22,1138.85,182.72,1858.97,52.2,26.68,37.15,135.12,34.62
2019/5/21,186.6,126.9,1149.63,184.82,1857.52,51.03,27.35,37.47,136.45,35.64
2019/5/22,182.78,127.67,1151.42,185.32,1859.68,50.49,27.41,38.58,136.35,34.73
2019/5/23,179.66,126.18,1140.77,180.87,1815.48,48.34,26.36,37.19,132.39,33.82
2019/5/24,178.97,126.24,1133.47,181.06,1823.28,48.98,26.44,37.41,132.28,34.0
