date,AMZN,S&P 500
2015-09-29,496.07,1884.089966
2015-09-30,511.89,1920.030029
2015-10-01,520.72,1923.819946
2015-10-02,532.54,1951.359985
2015-10-05,543.68,1987.050049
2015-10-06,537.48,1979.9200440000002
2015-10-07,541.94,1995.8299559999998
2015-10-08,533.16,2013.430054
2015-10-09,539.8,2014.890015
2015-10-12,550.19,2017.459961
2015-10-13,548.9,2003.689941
2015-10-14,544.83,1994.2399899999998
2015-10-15,562.44,2023.859985
2015-10-16,570.76,2033.109985
2015-10-19,573.15,2033.660034
2015-10-20,560.88,2030.77002
2015-10-21,555.77,2018.939941
2015-10-22,563.91,2052.51001
2015-10-23,599.03,2075.149902
2015-10-26,608.61,2071.179932
2015-10-27,611.01,2065.889893
2015-10-28,617.1,2090.350098
2015-10-29,626.55,2089.409912
2015-10-30,625.9,2079.360107
2015-11-02,628.35,2104.050049
2015-11-03,625.31,2109.790039
2015-11-04,640.95,2102.310059
2015-11-05,655.65,2099.929932
2015-11-06,659.37,2099.199951
2015-11-09,655.49,2078.580078
2015-11-10,659.68,2081.719971
2015-11-11,673.25,2075.0
2015-11-12,665.6,2045.969971
2015-11-13,642.35,2023.040039
2015-11-16,647.81,2053.189941
2015-11-17,643.3,2050.439941
2015-11-18,663.54,2083.580078
2015-11-19,661.27,2081.23999
2015-11-20,668.45,2089.169922
2015-11-23,678.99,2086.590088
2015-11-24,671.15,2089.139893
2015-11-25,675.34,2088.8701170000004
2015-11-27,673.26,2090.110107
2015-11-30,664.8,2080.409912
2015-12-01,679.06,2102.6298829999996
2015-12-02,676.01,2079.51001
2015-12-03,666.25,2049.6201170000004
2015-12-04,672.64,2091.689941
2015-12-07,669.83,2077.070068
2015-12-08,677.33,2063.590088
2015-12-09,664.79,2047.619995
2015-12-10,662.32,2052.22998
2015-12-11,640.15,2012.369995
2015-12-14,657.91,2021.939941
2015-12-15,658.64,2043.410034
2015-12-16,675.77,2073.070068
2015-12-17,670.65,2041.890015
2015-12-18,664.14,2005.550049
2015-12-21,664.51,2021.1500239999998
2015-12-22,663.15,2038.969971
2015-12-23,663.7,2064.290039
2015-12-24,662.79,2060.98999
2015-12-28,675.2,2056.5
